0.00	0.01	0.03	0.08	0.14	0.21	0.30	0.42	0.54	0.69	0.85	1.02	1.22	1.43	1.66	1.91	2.17	2.45	2.74	3.06	3.39
0.01	0.03	0.06	0.12	0.19	0.28	0.39	0.51	0.65	0.81	0.98	1.17	1.38	1.61	1.85	2.11	2.38	2.67	2.98	3.31	3.65
0.02	0.05	0.11	0.17	0.26	0.36	0.48	0.62	0.77	0.94	1.13	1.33	1.55	1.79	2.04	2.32	2.60	2.91	3.23	3.57	3.93
0.05	0.09	0.16	0.24	0.34	0.45	0.58	0.73	0.90	1.08	1.28	1.50	1.73	1.98	2.25	2.54	2.84	3.16	3.49	3.84	4.21
0.08	0.14	0.22	0.31	0.42	0.55	0.70	0.86	1.04	1.23	1.45	1.68	1.92	2.19	2.47	2.77	3.08	3.41	3.76	4.13	4.51
0.13	0.20	0.29	0.40	0.52	0.66	0.82	1.00	1.19	1.40	1.62	1.87	2.13	2.40	2.70	3.01	3.33	3.68	4.04	4.42	4.81
0.18	0.27	0.37	0.49	0.63	0.78	0.95	1.14	1.35	1.57	1.81	2.06	2.34	2.63	2.93	3.26	3.60	3.96	4.33	4.72	5.13
0.25	0.34	0.46	0.59	0.74	0.91	1.10	1.30	1.52	1.75	2.00	2.27	2.56	2.86	3.18	3.52	3.87	4.24	4.63	5.03	5.46
0.32	0.43	0.56	0.71	0.87	1.05	1.25	1.46	1.70	1.94	2.21	2.49	2.79	3.11	3.44	3.79	4.15	4.54	4.94	5.36	5.79
0.41	0.53	0.67	0.83	1.01	1.20	1.41	1.64	1.88	2.15	2.42	2.72	3.03	3.36	3.71	4.07	4.45	4.84	5.26	5.69	6.14
0.50	0.64	0.79	0.97	1.16	1.36	1.59	1.83	2.08	2.36	2.65	2.96	3.28	3.62	3.98	4.36	4.75	5.16	5.59	6.03	6.49
0.61	0.76	0.93	1.11	1.31	1.53	1.77	2.02	2.29	2.58	2.88	3.20	3.54	3.90	4.27	4.66	5.06	5.49	5.93	6.38	6.86
0.72	0.88	1.07	1.26	1.48	1.71	1.96	2.23	2.51	2.81	3.13	3.46	3.81	4.18	4.57	4.97	5.39	5.82	6.28	6.75	7.23
0.85	1.02	1.22	1.43	1.66	1.90	2.17	2.44	2.74	3.05	3.38	3.73	4.10	4.48	4.87	5.29	5.72	6.17	6.63	7.12	7.62
0.98	1.17	1.38	1.60	1.84	2.10	2.38	2.67	2.98	3.31	3.65	4.01	4.39	4.78	5.19	5.62	6.06	6.53	7.00	7.50	8.01
1.13	1.33	1.55	1.79	2.04	2.31	2.60	2.91	3.23	3.57	3.92	4.30	4.69	5.09	5.52	5.96	6.42	6.89	7.38	7.89	8.42
