0.00	0.01	0.05	0.12	0.21	0.33	0.47	0.64	0.84	1.06	1.31	1.59	1.89	2.22	2.57	2.96	3.36	3.80	4.26	4.74	5.26
0.01	0.03	0.09	0.17	0.28	0.41	0.58	0.76	0.98	1.22	1.48	1.77	2.09	2.44	2.81	3.20	3.63	4.08	4.55	5.06	5.58
0.02	0.07	0.14	0.24	0.36	0.51	0.69	0.89	1.12	1.38	1.66	1.97	2.30	2.66	3.05	3.46	3.90	4.37	4.86	5.38	5.92
0.05	0.11	0.19	0.31	0.45	0.62	0.81	1.03	1.27	1.55	1.85	2.17	2.52	2.90	3.30	3.73	4.19	4.67	5.18	5.71	6.27
0.08	0.16	0.26	0.39	0.55	0.73	0.94	1.18	1.44	1.73	2.04	2.38	2.75	3.14	3.56	4.01	4.48	4.98	5.50	6.05	6.63
0.13	0.22	0.34	0.49	0.66	0.86	1.08	1.34	1.61	1.92	2.25	2.61	2.99	3.40	3.83	4.30	4.79	5.30	5.84	6.41	7.00
0.18	0.29	0.43	0.59	0.78	0.99	1.24	1.50	1.80	2.12	2.47	2.84	3.24	3.66	4.12	4.59	5.10	5.63	6.19	6.77	7.38
0.25	0.37	0.52	0.70	0.91	1.14	1.40	1.68	1.99	2.33	2.69	3.08	3.50	3.94	4.41	4.90	5.42	5.97	6.54	7.14	7.77
0.32	0.46	0.63	0.83	1.05	1.30	1.57	1.87	2.20	2.55	2.93	3.34	3.77	4.23	4.71	5.22	5.76	6.32	6.91	7.53	8.17
0.41	0.56	0.75	0.96	1.20	1.46	1.75	2.07	2.41	2.78	3.18	3.60	4.05	4.52	5.02	5.55	6.10	6.68	7.29	7.92	8.58
0.50	0.68	0.88	1.10	1.36	1.64	1.95	2.28	2.64	3.02	3.43	3.87	4.34	4.83	5.34	5.89	6.46	7.05	7.67	8.32	9.00
0.61	0.80	1.01	1.26	1.53	1.82	2.15	2.50	2.87	3.27	3.70	4.16	4.64	5.14	5.68	6.24	6.82	7.43	8.07	8.74	9.43
0.72	0.93	1.16	1.42	1.71	2.02	2.36	2.73	3.12	3.53	3.98	4.45	4.95	5.47	6.02	6.59	7.20	7.82	8.48	9.16	9.87
0.85	1.07	1.32	1.60	1.90	2.23	2.58	2.96	3.37	3.81	4.27	4.75	5.27	5.80	6.37	6.96	7.58	8.22	8.89	9.59	10.31
0.98	1.22	1.49	1.78	2.10	2.44	2.81	3.21	3.64	4.09	4.56	5.07	5.60	6.15	6.73	7.34	7.97	8.63	9.32	10.03	10.77
1.13	1.38	1.66	1.97	2.31	2.67	3.06	3.47	3.91	4.38	4.87	5.39	5.93	6.51	7.10	7.73	8.38	9.06	9.76	10.49	11.24
