0.00	0.02	0.07	0.16	0.28	0.44	0.64	0.87	1.13	1.43	1.77	2.14	2.55	2.99	3.47	3.98	4.53	5.11	5.73	6.39	7.08
0.01	0.04	0.11	0.22	0.36	0.54	0.75	1.00	1.29	1.61	1.96	2.35	2.78	3.24	3.74	4.27	4.83	5.44	6.08	6.75	7.46
0.02	0.08	0.17	0.29	0.45	0.65	0.88	1.15	1.45	1.79	2.17	2.57	3.02	3.50	4.01	4.56	5.15	5.77	6.43	7.12	7.85
0.05	0.12	0.23	0.37	0.55	0.77	1.02	1.31	1.63	1.99	2.38	2.81	3.27	3.77	4.30	4.87	5.48	6.12	6.79	7.50	8.25
0.08	0.17	0.30	0.46	0.66	0.90	1.17	1.47	1.81	2.19	2.60	3.05	3.53	4.05	4.60	5.19	5.81	6.47	7.17	7.90	8.66
0.13	0.24	0.38	0.57	0.78	1.04	1.33	1.65	2.01	2.40	2.83	3.30	3.80	4.34	4.91	5.52	6.16	6.84	7.55	8.30	9.08
0.18	0.31	0.48	0.68	0.91	1.19	1.49	1.84	2.22	2.63	3.08	3.56	4.08	4.64	5.23	5.85	6.51	7.21	7.94	8.71	9.51
0.25	0.39	0.58	0.80	1.05	1.35	1.67	2.03	2.43	2.86	3.33	3.83	4.37	4.95	5.56	6.20	6.88	7.60	8.35	9.13	9.95
0.32	0.49	0.69	0.93	1.20	1.51	1.86	2.24	2.66	3.11	3.59	4.12	4.67	5.27	5.89	6.56	7.26	7.99	8.76	9.57	10.41
0.41	0.59	0.81	1.07	1.37	1.69	2.06	2.46	2.89	3.36	3.87	4.41	4.98	5.60	6.24	6.92	7.64	8.40	9.18	10.01	10.87
0.50	0.71	0.95	1.22	1.54	1.88	2.27	2.68	3.14	3.63	4.15	4.71	5.30	5.93	6.60	7.30	8.04	8.81	9.62	10.46	11.34
0.61	0.83	1.09	1.38	1.72	2.08	2.48	2.92	3.39	3.90	4.44	5.02	5.64	6.28	6.97	7.69	8.44	9.23	10.06	10.92	11.82
0.72	0.96	1.24	1.56	1.91	2.29	2.71	3.17	3.66	4.18	4.75	5.34	5.98	6.64	7.35	8.09	8.86	9.67	10.51	11.39	12.31
0.85	1.11	1.40	1.74	2.11	2.51	2.95	3.42	3.93	4.48	5.06	5.68	6.33	7.01	7.74	8.49	9.29	10.11	10.98	11.88	12.81
0.98	1.26	1.58	1.93	2.32	2.74	3.20	3.69	4.22	4.78	5.38	6.02	6.69	7.39	8.13	8.91	9.72	10.57	11.45	12.37	13.32
1.13	1.42	1.76	2.13	2.54	2.98	3.45	3.97	4.51	5.10	5.72	6.37	7.06	7.78	8.54	9.34	10.17	11.03	11.94	12.87	13.84
